BLH_ID,type,family,common_name,genus,organism,primer,short,BC,Code,Barcode,OTU ,Sequences,blh_mix_count,time_period,Year,Date,region,region_original,site_name,Terpene,host_plant,extraction_date,nucleic_acid,purity,quality,BCTV,CPt,S_citri
P12,Lambsquarter,Amaranthaceae,White lambsquarter,Chenopodium,Chenopodium album,ITS,NA,bc1140,NA,bc1153,NA,15,1, June,2019,43630,Pasco,Pasco,505,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P12,Pigweed,Amaranthaceae,Smooth pigweed,Amaranthus,Amaranthus hybridus,ITS,NA,bc1140,NA,bc1153,NA,399,1, June,2019,43630,Pasco,Pasco,505,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P12,Pigweed,Amaranthaceae,Purple pigweed,Amaranthus,Amaranthus blitum,trnF,NA,bc1110,NA,bc1142,NA,23,1, June,2019,43630,Pasco,Pasco,505,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P12,Russian thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,ITS,NA,bc1140,NA,bc1153,NA,3,1, June,2019,43630,Pasco,Pasco,505,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P12,Russian thistle,Amaranthaceae,Russian thistle,Salsola,Salsola komarovii,trnF,NA,bc1110,NA,bc1142,NA,4,1, June,2019,43630,Pasco,Pasco,505,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P12,Crop,Amaryllidaceae,Onion,Allium,Allium cepa,ITS,NA,bc1140,NA,bc1153,NA,3,1, June,2019,43630,Pasco,Pasco,505,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P12,Weed,Asteraceae,Prickly Lettuce,Lactuca,Lactuca serriola,ITS,NA,bc1140,NA,bc1153,NA,3,1, June,2019,43630,Pasco,Pasco,505,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P12,Weed,Boraginaceae,Fiddleneck,Amsinckia,Amsinckia intermedia,trnF,NA,bc1110,NA,bc1142,NA,7,1, June,2019,43630,Pasco,Pasco,505,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P12,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,NA,bc1140,NA,bc1153,NA,5,1, June,2019,43630,Pasco,Pasco,505,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P12,Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,ITS,NA,bc1140,NA,bc1153,NA,10,1, June,2019,43630,Pasco,Pasco,505,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P12,Nightshade,Solanaceae,Tansyleaf nightshade,Solanum,Solanum pinnatisectum,ITS,NA,bc1140,NA,bc1153,NA,8,1, June,2019,43630,Pasco,Pasco,505,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P13,Kochia,Amaranthaceae,Kochia ,Bassia,Bassia scoparia,ITS,NA,bc1155,NA,bc1157,NA,14,1, June,2019,43630,Pasco,Pasco,WSU,NA,Kochia,NA,NA,NA,NA,0,0,NA
P13,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,NA,bc1155,NA,bc1157,NA,27,1, June,2019,43630,Pasco,Pasco,WSU,NA,Kochia,NA,NA,NA,NA,0,0,NA
P13,Crop,Fabaceae,Alfalfa,Medicago,Medicago sativa,ITS,NA,bc1155,NA,bc1157 ,NA,23,1, June,2019,43630,Pasco,Pasco,WSU,NA,Kochia,NA,NA,NA,NA,0,0,NA
P13,Weed,Geraniaceae,Filaree,Erodium,Erodium cicutarium,ITS,NA,bc1155,NA,bc1157,NA,10,1, June,2019,43630,Pasco,Pasco,WSU,NA,Kochia,NA,NA,NA,NA,0,0,NA
P13,Tree,Rosaceae,Peach,Prunus,Prunus persica,ITS,NA,bc1155,NA,bc1157,NA,64,1, June,2019,43630,Pasco,Pasco,WSU,NA,Kochia,NA,NA,NA,NA,0,0,NA
P13,Tree,Sapindaceae,Sugar maple,Acer,Acer saccharinum,ITS,NA,bc1155,NA,bc1157,NA,71,1, June,2019,43630,Pasco,Pasco,WSU,NA,Kochia,NA,NA,NA,NA,0,0,NA
P13,Nightshade,Solanaceae,Bittersweet nightshade,Solanum,Solanum dulcamara,ITS,NA,bc1155,NA,bc1157,NA,2,1, June,2019,43630,Pasco,Pasco,WSU,NA,Kochia,NA,NA,NA,NA,0,0,NA
P13,Nightshade,Solanaceae,Black nightshade,Solanum,Solanum nigrum/americanum,ITS,NA,bc1155,NA,bc1157,NA,2,1, June,2019,43630,Pasco,Pasco,WSU,NA,Kochia,NA,NA,NA,NA,0,0,NA
P14,Kochia,Amaranthaceae,Kochia ,Bassia,Bassia scoparia,ITS,NA,bc1155,NA,bc1156,NA,5,1, June,2019,43630,Pasco,Pasco,WSU,NA,Kochia,NA,NA,NA,NA,0,0,NA
P14,Kochia,Amaranthaceae,Fireweed kochia,Bassia,Bassia littorea,trnF,NA,bc1108,NA,bc1109,NA,2,1, June,2019,43630,Pasco,Pasco,WSU,NA,Kochia,NA,NA,NA,NA,0,0,NA
P14,Lambsquarter,Amaranthaceae,White lambsquarter,Chenopodium,Chenopodium album,ITS,NA,bc1155,NA,bc1156,NA,4,1, June,2019,43630,Pasco,Pasco,WSU,NA,Kochia,NA,NA,NA,NA,0,0,NA
P14,Russian thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,ITS,NA,bc1155,NA,bc1156,NA,5,1, June,2019,43630,Pasco,Pasco,WSU,NA,Kochia,NA,NA,NA,NA,0,0,NA
P14,Crop,Asteraceae,Lettuce,Lactuca,Lactuca sativa,trnF,NA,bc1108,NA,bc1109,NA,2,1, June,2019,43630,Pasco,Pasco,WSU,NA,Kochia,NA,NA,NA,NA,0,0,NA
P14,Weed,Geraniaceae,Filaree,Erodium,Erodium cicutarium,ITS,NA,bc1155,NA,bc1156,NA,58,1, June,2019,43630,Pasco,Pasco,WSU,NA,Kochia,NA,NA,NA,NA,0,0,NA
P14,Weed,Geraniaceae,Storksbill,Erodium,Erodium carvifolium,trnF,NA,bc1108,NA,bc1109,NA,7,1, June,2019,43630,Pasco,Pasco,WSU,NA,Kochia,NA,NA,NA,NA,0,0,NA
P14,Tree,Rosaceae,Peach,Prunus,Prunus persica,ITS,NA,bc1155,NA,bc1156,NA,4,1, June,2019,43630,Pasco,Pasco,WSU,NA,Kochia,NA,NA,NA,NA,0,0,NA
P15,Russian thistle,Amaranthaceae,Russian thistle,Salsola,Salsola komarovii,trnF,NA,bc1108,NA,bc1115,NA,7,1, June,2019,43630,Pasco,Pasco,WSU,NA,Kochia,NA,NA,NA,NA,0,0,NA
P15,Crop,Apiaceae,Coriander,Coriandrum,Coriandrum sativum,trnF,NA,bc1108,NA,bc1115,NA,2,1, June,2019,43630,Pasco,Pasco,WSU,NA,Kochia,NA,NA,NA,NA,0,0,NA
P15,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,NA,bc1155,NA,bc1159,NA,2,1, June,2019,43630,Pasco,Pasco,WSU,NA,Kochia,NA,NA,NA,NA,0,0,NA
P15,Crop,Cucurbitaceae,Cucumber,Cucumis,Cucumis sativus,ITS,NA,bc1155,NA,bc1159,NA,6,1, June,2019,43630,Pasco,Pasco,WSU,NA,Kochia,NA,NA,NA,NA,0,0,NA
P15,Weed,Geraniaceae,Filaree,Erodium,Erodium cicutarium,ITS,NA,bc1155,NA,bc1159,NA,26,1, June,2019,43630,Pasco,Pasco,WSU,NA,Kochia,NA,NA,NA,NA,0,0,NA
P15,Tree,Oleaceae,Privet,Ligustrum,Ligustrum lucidum,trnF,NA,bc1108,NA,bc1115,NA,7,1, June,2019,43630,Pasco,Pasco,WSU,NA,Kochia,NA,NA,NA,NA,0,0,NA
P15,Crop,Vitaceae,Grape,Vitis,Vitis vinifera,trnF,NA,bc1108,NA,bc1115,NA,10,1, June,2019,43630,Pasco,Pasco,WSU,NA,Kochia,NA,NA,NA,NA,0,0,NA
P16,Russian thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,ITS,NA,bc1135,NA,bc1155,NA,303,1, June,2019,43630,Pasco,Pasco,WSU,NA,Russian thistle,NA,NA,NA,NA,0,0,NA
P16,Russian thistle,Amaranthaceae,Russian thistle,Salsola,Salsola komarovii,trnF,NA,bc1108,NA,bc1114,NA,68,1, June,2019,43630,Pasco,Pasco,WSU,NA,Russian thistle,NA,NA,NA,NA,0,0,NA
P16,Crop,Asteraceae,Lettuce,Lactuca,Lactuca sativa,trnF,NA,bc1108,NA,bc1114,NA,13,1, June,2019,43630,Pasco,Pasco,WSU,NA,Russian thistle,NA,NA,NA,NA,0,0,NA
P16,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,NA,bc1135,NA,bc1155,NA,73,1, June,2019,43630,Pasco,Pasco,WSU,NA,Russian thistle,NA,NA,NA,NA,0,0,NA
