BLH_ID,type,family,common_name,genus,organism,primer,BC,Barcode,OTU ,Sequences,blh_mix_count,time_period,Year,Date,region,region_original,site_name,host_plant,BCTV,CPt,S_citri,
P5,Grass,Poaceae,Cheatgrass,Bromus,Bromus tectorum,ITS,bc1140,bc1150,NA,2,1, June,2019,43628,Mattawa,Mattawa,RDR,Potato,1,0,0,
P5,Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabia sativa,ITS,bc1140,bc1150,NA,724,1, June,2019,43628,Mattawa,Mattawa,RDR,Potato,1,0,0,
P5,Weed,Asteraceae,Horseweed,Erigeron,Erigeron canadensis,ITS,bc1140,bc1150,NA,13,1, June,2019,43628,Mattawa,Mattawa,RDR,Potato,1,0,0,
P5,Shrub,Rosaceae,Photinia,Photinia,Photinia glabra,ITS,bc1140,bc1150,NA,3,1, June,2019,43628,Mattawa,Mattawa,RDR,Potato,1,0,0,
P5,Tree,Fagaceae,Oak,Quercus,Quercus robur,ITS,bc1140,bc1150,NA,4,1, June,2019,43628,Mattawa,Mattawa,RDR,Potato,1,0,0,
P6,Tree,Sapindaceae,Red maple,Acer,Acer rubrum,ITS,bc1140,bc1146 ,NA,4,1, June,2019,43628,Mattawa,Mattawa,RDR,Potato,0,0,0,
P6,Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,ITS,bc1140,bc1146,NA,2,1, June,2019,43628,Mattawa,Mattawa,RDR,Potato,0,0,0,
P6,Weed,Asteraceae,Sand aster,Corethrogyne,Corethrogyne filaginifolia,ITS,bc1140,bc1146,NA,4,1, June,2019,43628,Mattawa,Mattawa,RDR,Potato,0,0,0,
P6,Russian thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,ITS,bc1140,bc1146,NA,5,1, June,2019,43628,Mattawa,Mattawa,RDR,Potato,0,0,0,
P6,Tree,Fagaceae,Oak,Quercus,Quercus sp.,ITS,bc1140,bc1146,NA,26,1, June,2019,43628,Mattawa,Mattawa,RDR,Potato,0,0,0,
P6,Crop,Solanaceae,Tomato,Solanum,Solanum lycopersicum,ITS,bc1140,bc1146,NA,83,1, June,2019,43628,Mattawa,Mattawa,RDR,Potato,0,0,0,
P6,Nightshade,Solanaceae,Tansyleaf nightshade,Solanum,Solanum pinnatisectum,ITS,bc1140,bc1146,NA,206,1, June,2019,43628,Mattawa,Mattawa,RDR,Potato,0,0,0,
P6,Tree,Malvaceae,Linden,Tilia,Tilia x,ITS,bc1140,bc1146,NA,11,1, June,2019,43628,Mattawa,Mattawa,RDR,Potato,0,0,0,
P7,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,bc1146,bc1155,NA,315,1, June,2019,43628,Mattawa,Mattawa,RDR,Mustard,1,1,0,
